"","validated_id","current_symbol"
"192","FBgn0003011","ort"
"193","FBgn0003016","osp"
"194","FBgn0003042","Pc"
"195","FBgn0003044","Pcl"
"196","FBgn0003060","CG9757"
"197","FBgn0003062","Fib"
"198","FBgn0003067","Pepck1"
"199","FBgn0003068","per"
"200","FBgn0003071","Pfk"
"201","FBgn0003079","Raf"
"202","FBgn0003091","Pkc53E"
"203","FBgn0003093","Pkc98E"
"204","FBgn0003118","pnt"
"205","FBgn0003134","Pp1α-96A"
"206","FBgn0003141","pr"
"207","FBgn0003149","Prm"
"208","FBgn0003162","Pu"
"209","FBgn0003165","pum"
"210","FBgn0003187","qua"
"211","FBgn0003209","raw"
"212","FBgn0003218","rdgB"
"213","FBgn0003231","ref(2)P"
"214","FBgn0003248","Rh2"
"215","FBgn0003249","Rh3"
"216","FBgn0003250","Rh4"
"217","FBgn0003256","rl"
"218","FBgn0003261","Rm62"
"219","FBgn0003268","rod"
"220","FBgn0003274","RpLP2"
"221","FBgn0003277","Polr2A"
"222","FBgn0003278","Polr1B"
"223","FBgn0003279","RpL4"
"224","FBgn0003295","ru"
"225","FBgn0003301","rut"
"226","FBgn0003308","ry"
"227","FBgn0003310","S"
"228","FBgn0003326","sca"
"229","FBgn0003353","sei"
"230","FBgn0003360","sesB"
"231","FBgn0003366","sev"
"232","FBgn0003372","Sgs1"
"233","FBgn0003380","Sh"
"234","FBgn0003386","Shaw"
"235","FBgn0003390","shf"
"236","FBgn0003392","shi"
"237","FBgn0003396","shn"
"238","FBgn0003423","slgA"
"239","FBgn0003429","slo"
"240","FBgn0003430","slp1"
"241","FBgn0003435","sm"
"242","FBgn0003447","sn"
"243","FBgn0003449","snf"
"244","FBgn0003459","stwl"
"245","FBgn0003463","sog"
"246","FBgn0003495","spz"
"247","FBgn0003499","sr"
"248","FBgn0003507","srp"
"249","FBgn0003514","sqh"
"250","FBgn0003515","st"
"251","FBgn0003517","sta"
"252","FBgn0003557","Su(dx)"
"253","FBgn0003567","su(Hw)"
"254","FBgn0003575","su(sable)"
"255","FBgn0003607","Su(var)205"
"256","FBgn0003612","Su(var)2-10"
"257","FBgn0003638","su(w[a])"
"258","FBgn0003651","svp"
"259","FBgn0003655","swa"
"260","FBgn0003656","sws"
"261","FBgn0003660","Syb"
"262","FBgn0003676","CCT1"
"263","FBgn0003710","tipE"
"264","FBgn0003719","tld"
"265","FBgn0003721","Tm1"
"266","FBgn0003731","Egfr"
"267","FBgn0003744","trc"
"268","FBgn0003748","Treh"
"269","FBgn0003862","trx"
"270","FBgn0003866","tsh"
"271","FBgn0003884","αTub84B"
"272","FBgn0003885","αTub84D"
"273","FBgn0288686","βTub60D"
"274","FBgn0003891","tud"
"275","FBgn0003892","ptc"
"276","FBgn0003896","tup"
"277","FBgn0003941","RpL40"
"278","FBgn0003942","RpS27A"
"279","FBgn0003943","Ubi-p63E"
"280","FBgn0003965","v"
"281","FBgn0003997","hid"
"282","FBgn0004045","Yp1"
"283","FBgn0004047","Yp3"
"284","FBgn0004055","uzip"
"285","FBgn0004066","Prosα4"
"286","FBgn0004101","bs"
"287","FBgn0004106","Cdk1"
"288","FBgn0004117","Tm2"
"289","FBgn0004118","nAChRβ2"
"290","FBgn0004133","blow"
"291","FBgn0004168","5-HT1A"
"292","FBgn0004169","up"
"293","FBgn0004179","Csp"
"294","FBgn0004198","ct"
"295","FBgn0004227","nonA"
"296","FBgn0004240","DptA"
"297","FBgn0004242","Syt1"
"298","FBgn0004244","Rdl"
"299","FBgn0004359","T48"
"300","FBgn0004360","Wnt2"
"301","FBgn0004362","HmgD"
"302","FBgn0004363","porin"
"303","FBgn0287775","18w"
"304","FBgn0004368","Ptp4E"
"305","FBgn0004369","Ptp99A"
"306","FBgn0004374","neb"
"307","FBgn0004378","Klp61F"
"308","FBgn0004379","Klp67A"
"309","FBgn0004380","Klp64D"
"310","FBgn0004381","Klp68D"
"311","FBgn0004390","RasGAP1"
"312","FBgn0004395","unk"
"313","FBgn0004396","CrebA"
"314","FBgn0004400","rhi"
"315","FBgn0004401","Pep"
"316","FBgn0004403","RpS14a"
"317","FBgn0004404","RpS14b"
"318","FBgn0004407","PolG2"
"319","FBgn0004432","Cyp1"
"320","FBgn0004435","Gαq"
"321","FBgn0004436","Ubc6"
"322","FBgn0004449","Ten-m"
"323","FBgn0004456","mew"
"324","FBgn0004507","Glyp"
"325","FBgn0004509","Fur1"
"326","FBgn0004512","Mdr49"
"327","FBgn0004513","Mdr65"
"328","FBgn0004516","Gad1"
"329","FBgn0004556","Dbp73D"
"330","FBgn0004567","slp2"
"331","FBgn0004573","5-HT7"
"332","FBgn0004574","Rop"
"333","FBgn0004575","Syn"
"334","FBgn0004580","Cbp53E"
"335","FBgn0004587","B52"
"336","FBgn0004595","pros"
"337","FBgn0004597","CycC"
"338","FBgn0004606","zfh1"
"339","FBgn0004611","Plc21C"
"340","FBgn0004619","GluRIA"
"341","FBgn0004620","GluRIIA"
"342","FBgn0004623","Gβ76C"
"343","FBgn0004635","rho"
"344","FBgn0004638","drk"
"345","FBgn0004644","hh"
"346","FBgn0004646","ogre"
"347","FBgn0004648","svr"
"348","FBgn0004687","Mlc-c"
"349","FBgn0004698","Xpc"
"350","FBgn0004784","inaC"
"351","FBgn0004837","Su(H)"
"352","FBgn0004838","Hrb27C"
"353","FBgn0004856","Bx42"
"354","FBgn0004865","Eip78C"
"355","FBgn0004867","RpS2"
"356","FBgn0004868","Gdi"
"357","FBgn0004880","scrt"
"358","FBgn0004882","orb"
"359","FBgn0004885","tok"
"360","FBgn0004889","tws"
"361","FBgn0004903","Rb97D"
"362","FBgn0004907","14-3-3ζ"
"363","FBgn0004910","Eip63F-1"
"364","FBgn0004919","gol"
"365","FBgn0004921","Gγ1"
"366","FBgn0004924","Top1"
"367","FBgn0004926","eIF2β"
"368","FBgn0005278","Sams"
"369","FBgn0005322","nmd"
"370","FBgn0005391","Yp2"
"371","FBgn0005427","ewg"
"372","FBgn0005533","RpS17"
"373","FBgn0005536","Mbs"
"374","FBgn0005558","ey"
"375","FBgn0005561","sv"
