,validated_id,current_symbol,Official_ID,First_Author,Year,PMID,website_address
50,FBgn0033434,CG1902,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
51,FBgn0000064,Ald1,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
52,FBgn0027111,miple1,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
53,FBgn0000071,Ama,LinearUp-8,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
54,FBgn0027279,l(1)G0196,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
55,FBgn0004595,pros,LinearDown-3,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
56,FBgn0027280,orion,LinearUp-1,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
57,FBgn0033451,Marc,Complex-9,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
58,FBgn0033453,Sting,LinearUp-3,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
59,FBgn0000075,amd,LinearDown-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
60,FBgn0027291,Idh3a,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
61,FBgn0030391,Rab40,LinearUp-8,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
62,FBgn0033454,CG1671,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
63,FBgn0000078,Amy-d,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
64,FBgn0033463,CG1513,LinearDown-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
65,FBgn0033464,CG1441,Complex-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
66,FBgn0027329,CCT6,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
67,FBgn0000079,Amy-p,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
68,FBgn0027330,l(1)G0020,LinearUp-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
69,FBgn0033468,CG1418,Complex-14,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
70,FBgn0037989,ATP8B,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
71,FBgn0083228,Frq2,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
72,FBgn0000083,AnxB9,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
73,FBgn0083956,ldd,LinearDown-3,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
74,FBgn0000092,dyw,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
75,FBgn0083961,CG34125,LinearUp-8,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
76,FBgn0000097,aop,LinearUp-2,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
77,FBgn0038001,CG17404,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
78,FBgn0000108,Appl,LinearDown-4,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
79,FBgn0083962,CG34126,LinearUp-2,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
80,FBgn0027356,Amph,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
81,FBgn0000114,bru1,Complex-8,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
82,FBgn0027359,Tim8,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
83,FBgn0083968,CG34132,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
84,FBgn0030451,CG15717,Complex-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
85,FBgn0000115,Arl1,LinearUp-1,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
86,FBgn0027375,RecQ5,LinearUp-3,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
87,FBgn0000116,Argk1,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
88,FBgn0038013,CG10038,Complex-9,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
89,FBgn0033484,CG2269,LinearDown-4,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
90,FBgn0038016,MBD-R2,LinearUp-2,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
91,FBgn0083972,CG34136,LinearUp-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
92,FBgn0027493,Adss,LinearUp-2,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
93,FBgn0004657,mys,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
94,FBgn0000120,Arr1,Complex-11,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
95,FBgn0033500,Csgalnact,LinearDown-1,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
96,FBgn0034814,CG9890,LinearUp-4,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
97,FBgn0000121,Arr2,Complex-10,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
98,FBgn0027504,bsd,LinearDown-4,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
99,FBgn0000146,aub,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
100,FBgn0000147,aurA,LinearUp-3,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
101,FBgn0027509,Tbcd,LinearUp-2,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
