,gene_id,day,Samples,Norm_Counts,survivorship,sp,validated_id,current_symbol
447188,FBgn0040305,48,48c,116.3641,0.1694146,12,FBgn0040305,MTF-1
447189,FBgn0040305,10,10c,127.4777,0.9935861,3,FBgn0040305,MTF-1
447190,FBgn0040305,59,59d,133.9233,0.0192379,15,FBgn0040305,MTF-1
447191,FBgn0040305,27,27c,136.0736,0.6995397,7,FBgn0040305,MTF-1
447192,FBgn0040305,55,55c,165.1503,0.0525453,14,FBgn0040305,MTF-1
447193,FBgn0040305,59,59b,122.8642,0.0192379,15,FBgn0040305,MTF-1
447194,FBgn0040305,36,36c,117.6794,0.5669878,9,FBgn0040305,MTF-1
447195,FBgn0040305,42,42c,147.2337,0.391936,11,FBgn0040305,MTF-1
447196,FBgn0040305,36,36a,155.4777,0.5669878,9,FBgn0040305,MTF-1
447197,FBgn0040305,55,55a,161.6345,0.0525453,14,FBgn0040305,MTF-1
447198,FBgn0040305,50,50c,165.459,0.1075575,13,FBgn0040305,MTF-1
447199,FBgn0040305,6,6b,117.9016,0.9976817,2,FBgn0040305,MTF-1
447200,FBgn0040305,23,23b,124.4569,0.7575641,6,FBgn0040305,MTF-1
447201,FBgn0040305,6,6c,133.4295,0.9976817,2,FBgn0040305,MTF-1
447202,FBgn0040305,31,31c,147.2346,0.6472712,8,FBgn0040305,MTF-1
447203,FBgn0040305,38,38a,90.9397,0.5157502,10,FBgn0040305,MTF-1
447204,FBgn0040305,59,59e,158.6849,0.0192379,15,FBgn0040305,MTF-1
447205,FBgn0040305,10,10a,112.0645,0.9935861,3,FBgn0040305,MTF-1
447206,FBgn0040305,59,59a,129.984,0.0192379,15,FBgn0040305,MTF-1
447207,FBgn0040305,31,31b,131.4891,0.6472712,8,FBgn0040305,MTF-1
447208,FBgn0040305,31,31a,112.1407,0.6472712,8,FBgn0040305,MTF-1
447209,FBgn0040305,50,50d,149.1444,0.1075575,13,FBgn0040305,MTF-1
447210,FBgn0040305,59,59g,149.4363,0.0192379,15,FBgn0040305,MTF-1
447211,FBgn0040305,14,14a,131.8511,0.9616176,4,FBgn0040305,MTF-1
447212,FBgn0040305,17,17b,122.2299,0.9383863,5,FBgn0040305,MTF-1
447213,FBgn0040305,14,14c,142.5369,0.9616176,4,FBgn0040305,MTF-1
447214,FBgn0040305,27,27b,137.1869,0.6995397,7,FBgn0040305,MTF-1
447215,FBgn0040305,27,27a,129.0259,0.6995397,7,FBgn0040305,MTF-1
447216,FBgn0040305,17,17a,111.2419,0.9383863,5,FBgn0040305,MTF-1
74017,FBgn0016120,23,23b,1182.781,0.7575641,6,FBgn0016120,ATPsynD
74018,FBgn0016120,55,55c,857.2479,0.0525453,14,FBgn0016120,ATPsynD
74019,FBgn0016120,48,48b,995.07,0.1694146,12,FBgn0016120,ATPsynD
74020,FBgn0016120,10,10b,1147.173,0.9935861,3,FBgn0016120,ATPsynD
74021,FBgn0016120,42,42a,913.2731,0.391936,11,FBgn0016120,ATPsynD
74022,FBgn0016120,55,55b,929.131,0.0525453,14,FBgn0016120,ATPsynD
74023,FBgn0016120,36,36c,1146.919,0.5669878,9,FBgn0016120,ATPsynD
74024,FBgn0016120,38,38b,1044.984,0.5157502,10,FBgn0016120,ATPsynD
74025,FBgn0016120,36,36a,950.6486,0.5669878,9,FBgn0016120,ATPsynD
74026,FBgn0016120,14,14a,976.5689,0.9616176,4,FBgn0016120,ATPsynD
74027,FBgn0016120,31,31c,1036.858,0.6472712,8,FBgn0016120,ATPsynD
74028,FBgn0016120,59,59c,1151.861,0.0192379,15,FBgn0016120,ATPsynD
74029,FBgn0016120,27,27a,1092.723,0.6995397,7,FBgn0016120,ATPsynD
74030,FBgn0016120,31,31a,1008.893,0.6472712,8,FBgn0016120,ATPsynD
74031,FBgn0016120,27,27c,1018.621,0.6995397,7,FBgn0016120,ATPsynD
74032,FBgn0016120,59,59e,949.7281,0.0192379,15,FBgn0016120,ATPsynD
74033,FBgn0016120,50,50a,773.5504,0.1075575,13,FBgn0016120,ATPsynD
74034,FBgn0016120,6,6b,1237.501,0.9976817,2,FBgn0016120,ATPsynD
74035,FBgn0016120,42,42b,822.8963,0.391936,11,FBgn0016120,ATPsynD
74036,FBgn0016120,50,50d,866.9617,0.1075575,13,FBgn0016120,ATPsynD
74037,FBgn0016120,59,59a,1279.954,0.0192379,15,FBgn0016120,ATPsynD
74038,FBgn0016120,59,59b,774.8531,0.0192379,15,FBgn0016120,ATPsynD
74039,FBgn0016120,38,38a,1235.011,0.5157502,10,FBgn0016120,ATPsynD
74040,FBgn0016120,23,23c,1247.61,0.7575641,6,FBgn0016120,ATPsynD
74041,FBgn0016120,59,59d,1013.864,0.0192379,15,FBgn0016120,ATPsynD
